קוד פריט,תיאור פריט,מחיר אחרון שחושב (מטבע),מחיר אחרון שחושב,כמות,ערך מלאי (מטבע),ערך מלאי
22002450,מחסום 6 מ' N&D 36 XTREME RAL 9006 P940093 10102,₪  ,6380.78,6,₪  ,38284.68
17000011,8X1.5+1X2.5+1X4 כבל,₪  ,13.8,"2,600",₪  ,35880
22002434,"עמוד אנטי ונדלי למצלמת LPR גובה 50ס""מ כסף (RAL9006) HIKVISION",₪  ,870,39,₪  ,33930
14000014,"שוט ג'בו ""4.0X4",₪  ,860,39,₪  ,33540
22002738,מחסום NIGHT&DAY-68 Xtreme 322300 RAL 9006,Eur,1667.15,5,₪  ,31933.42
22002416,COMPLETE GEARMOTOR Xtreme 35 220V I271567 60001,₪  ,2869.84,11,₪  ,31568.24
11000125,SUB RACK 3U/84TE (unassembled) 3522 759 96850,Eur,60.13,134,₪  ,30867.58
22001099,NIGHT&DAY-6 NPB 320801-P (מחסום 6 מ' צבע אלומיניום),₪  ,4954.11,6,₪  ,29724.66
16000217,קופסאת לחצן אלומ' להולך רגל קומלפלט,₪  ,190,156,₪  ,29640
16000238,ארון UPS קטן DCWE-0  DW 361 00,Eur,127.59,59,₪  ,28838.63
11000111,ED316 kit for 16 channels with extra transient protection 9586 132 90040,₪  ,1766.34,16,₪  ,28261.44
17000314,כבל מיכשור שחור 1X2X12 כ''מ טלדור,₪  ,7.6,"3,700",₪  ,28120
22001026,LIGHT 3 R/G P120077 00001,Eur,129.13,56,₪  ,27702.66
26000142,אל פסק A2000,₪  ,3950,7,₪  ,27650
22002842,מצלמת LPR 4MP 2.7-12mm ITC15-PW6M-IRLZF-B,₪  ,1500,18,₪  ,27000
12000131,עדשה אדומה לפנס ה.ר. Led Module Red 200 mm 230 VAC 12113,₪  ,194.4,129,₪  ,25077.6
12000134,עדשה אדומה לפנס תנועה Led Module Red 300 mm 230 VAC 13113,₪  ,204,122,₪  ,24888
22000921,IVB-F06-7A1051 with software,Eur,360,18,₪  ,24824.22
25001322,מהדק נתיך TB 4-HESI (5X20) I,Eur,0.91,"7,117",₪  ,24810.68
11000091,Backplane IO1616 3522 704 24630,₪  ,276.79,85,₪  ,23527.15
11000109,I/O backpanel 3522 704 24320,₪  ,319.04,73,₪  ,23289.92
12000138,פנס מקדים לרק''ל (1112318) 1X200 220V,₪  ,316.24,73,₪  ,23085.52
11000059,"Crimp contact 0,5/1,5 2mm 3522 759 61310",Eur,0.65,"9,000",₪  ,22410.75
22000222,"BL-SMALL 30 מק""ט 323101(זרוע 3 מ')",₪  ,337.32,66,₪  ,22263.12
13000292,ארון 2/470 (1226X1136X470) כולל 4 מאווררים OR-6472,₪  ,3604.98,6,₪  ,21629.88
22000990,מקודד פנימי ASK דגם CPL407U+ANT400,₪  ,2673.14,8,₪  ,21385.12
22000886,שופר למערכת כריזה OUT DOOR 50W,$  ,565.03,10,₪  ,20781.8
22002574,מחשב תעשייתי CES-IND-6780i7-16I512 SSD,$  ,1372.78,4,₪  ,20196.32
26001070,P360 Tiny i7-12700T 32GB 1TBSSD T1000 W11P 3Y,₪  ,6650.43,3,₪  ,19951.29
12000129,עדשה לבנה לפנס ה.ר./רק''ל Led Module White 200 mm 230 VAC 42112,Eur,54.5,93,₪  ,19416.91
21000022,בקר TM221CE40R,$  ,219,24,₪  ,19331.56
11000100,VARIO MODULE FLK20 2280 019 3522 759 90890,Eur,109.66,46,₪  ,19324.42
12000130,עדשה ירוקה לפנס ה.ר. Led Module Green 200 mm 230 VAC 32113,Eur,56.01,90,₪  ,19311.18
32000049,Transmitter IVE-F0-95D051,Eur,418,12,₪  ,19215.8
14000237,עמוד תקתקן עם דלת 1.50 מ' 4'' כולל פלטה,₪  ,336,56,₪  ,18816
11000134,ASSY ACU 3522 704 73510 (כרטיס CPU FLOW NONE),₪  ,6163.03,3,₪  ,18489.09
25000953,אל פסק( UPS TOP 2000 (AON2000-2,₪  ,1800,10,₪  ,18000
19000340,פנל אלומיניום 440X480X3,₪  ,109.83,162,₪  ,17792.46
31000399,פח גב לארון מנגנון דלת צד ימין כולל זוויות,₪  ,300,59,₪  ,17700
22002663,קורא כרטיס אשראי WI-FI VPOS TOUCH,₪  ,1100,16,₪  ,17600
12000112,פנס מהבהב (2113313) LED 42V 1X300,Eur,98.98,46,₪  ,17442.46
22000884,LIGHT 5 R/G P120077 00002,₪  ,555.9,30,₪  ,16677
14000287,מתקן הרמה למצלמה CLDMG2-HYPIP6,$  ,4411.97,1,₪  ,16227.22
26000917,מחשב DELL VOSTRO I5 HD500G SSD,₪  ,2700,6,₪  ,16200
22001180,CDS 230V/50-60H 381785,₪  ,764.3,21,₪  ,16050.3
16000242,בסיס לשתילה לארון UPS קטן FD0 FD 358 00,Eur,60.72,68,₪  ,15818.06
23000079,מצלמה MTV-13V5HC-1,₪  ,634.73,24,₪  ,15233.52
17000069,כבל 3X10 XLPE,₪  ,14.83,"1,020",₪  ,15126.6
22002407,"מצלמת רשת צינור 2מ""פ עדשה 2.8-12 מ""מ (LPR)",₪  ,1870.09,8,₪  ,14960.72
17000310,כבל פיקוד מסוכךLiYCY 3X2X0.5,₪  ,7.8,"1,900",₪  ,14820.04
17000028,כבל 5X1.5 XLPE,₪  ,4.22,"3,500",₪  ,14770
25001103,מצבר 100AH 12MVR100,₪  ,820,18,₪  ,14760
22001138,KIT-PB BL-SMALL N3/5-XT5-SPEED P120043 00001,₪  ,406.79,36,₪  ,14644.44
16000200,מאורר X1232 ABHT כולל רשת מגן ממתכת חיבור מהיר,₪  ,36.81,393,₪  ,14466.33
26001096,מתג NLP3A001,$  ,3912.89,1,₪  ,14391.61
16081977,PTZ NDP-5512-Z30L,Eur,937.94,4,₪  ,14372.62
19001047,מנוע ת''פ לשער כבד 1.1kW כולל גיר מכסה ותושבת,₪  ,2363.1,6,₪  ,14178.6
16000240,בסיס לשתילה לארון UPS גדול FD2 FD 398 00,₪  ,339.67,40,₪  ,13586.8
32000020,פילטר מוגן מפלסטיק FB9803 150X150 מ''מ,₪  ,27.6,492,₪  ,13579.2
32000008,PD 132 230V 1 גלאי ערוץ,₪  ,299.22,45,₪  ,13464.9
17000019,כבל מיקרופון טויסטד 6223  22X2,₪  ,2.4,"5,500",₪  ,13200
14000000,בסיס ברגי יסוד דגם אשדוד מגולבן,₪  ,162.4,80,₪  ,12992
17000036,כבל גל ירוק 30X2X0.6,₪  ,13.8,940,₪  ,12972
22002856,"CPU 1510SP-1 PN, 100KB Prog./750KB Data 6ES75101-DK030-AB0",$  ,388,9,₪  ,12843.58
220000270,"bl-large 60 מק""ט 323140 זרוע 6",Eur,222.54,15,₪  ,12787.92
22002668,מנוע דמאג 14M 13/3pkf4 ab,₪  ,6254.7,2,₪  ,12509.4
17000042,כבל הארקה 10 מ''מ צ/י קשיח (בתוף 500 מ'),₪  ,4.9,"2,550",₪  ,12495
22000821,כרטיס רמזומן כולל טרמינלים ומיקרו ירוק,₪  ,960,13,₪  ,12480
22000791,קורא ברקוד MAGELLAN 1100I OEM RS 232+כבל וספק כח,₪  ,1035,12,₪  ,12420
17000331,כבל פנדל לבן 4X0.75,₪  ,3.7,"3,300",₪  ,12210
22001326,GP4T Variant Parking System Basic Terminal,Eur,631.8,5,₪  ,12101.81
26000848,"ג'יביק 1000BASE-LX SFP 10 Pack, Hi",$  ,1166,2.8,₪  ,12007.89
32000025,כרטיס גלאי מנורה 4 ערוצים MLD 1004 A,₪  ,2400,5,₪  ,12000
14000225,"שוט ל-ג/7  ""4*2.5 כולל ה/8",₪  ,700,17,₪  ,11900
32000039,לולאה לגלאי העדפה לרכבת קלה קומפלט,₪  ,850,14,₪  ,11900
12000133,עדשה צהובה לפנס תנועה Led Module Yellow 300 mm 230 VAC 23113,Eur,60,51,₪  ,11722.55
22000843,עינית COPPUA FOTOCELLULE COMPACTA A20-180 P111782,₪  ,131.82,88,₪  ,11600.16
16000248,ארון בזק 2 (עומק 380) כולל 4 פתחים למאוורר + 4 פילטרים + 2 מאוררים,₪  ,3789.74,3,₪  ,11369.22
32000027,UMRR-0C Type 40,Eur,2949,1,₪  ,11297.32
32000028,UMRR-0C Type 42,Eur,2949,1,₪  ,11297.32
22001061,BL-SMALL 50 זרוע למחסום 5 מ' (323103),₪  ,537.1,21,₪  ,11279.1
22002778,"CPU 1214C, DC/DC/DC, 14DI/10DO/2AI 6ES7214-1AG40-0XB0",$  ,276.92,11,₪  ,11203.63
26000335,מעגל בקר תצוגה גרפית/דגם REV-1/דגם AW24064 ללא TIBO,₪  ,319,35,₪  ,11165
