קוד פריט,תיאור פריט,מחיר אחרון שחושב (מטבע),מחיר אחרון שחושב,כמות,ערך מלאי (מטבע),ערך מלאי
19000132,קשת מרירון  3/4,₪  ,1,30,₪  ,30
20000091,מברג שטוח  5 ממ' מבודד,₪  ,15,2,₪  ,30
20000265,'שפיץ חדירה 19ממ,₪  ,15,2,₪  ,30
25000162,שקע בזק גוויס,₪  ,5,6,₪  ,30
30000159,בורג קודח לבן 16,₪  ,0.06,500,₪  ,30
33000203,בורג שחור למכסה עליון MATU101-117,₪  ,3,10,₪  ,30
19000175,תרסיס ניקוי מגעים שומני 7301 ( לא פעיל),₪  ,29.98,1,₪  ,29.98
24000924,אנטנה למודם סלולארי GPRS עם 3 מטר כבל,$  ,8.13,1,₪  ,29.92
20000123,מער'  מברגי שענים ( לא פעיל),₪  ,29.8,1,₪  ,29.8
20000701,רצועת הרמה 1.5 מטר 3 טון ( לא פעיל),₪  ,29.66,1,₪  ,29.66
24000363,74HC688  IC,₪  ,1.97,15,₪  ,29.55
10000005,AC-35 P.S-805 ספק-כח,₪  ,4.2,7,₪  ,29.4
24000113,7432 IC,₪  ,0.91,32,₪  ,29.12
20000241,מטאטה +מקל (ביתי),₪  ,14.5,2,₪  ,29
20000450,מפתח  פתוח רינג 22 ממ,₪  ,29,1,₪  ,29
20000720,מפתח רצ'ט מידה 19,₪  ,29,1,₪  ,29
26000905,כבל רשת 5 מ' CAT-6,₪  ,5.8,5,₪  ,29
27000118,נוזל כלים,₪  ,14.5,2,₪  ,29
24000284,P.8255-2 IC,₪  ,9.66,3,₪  ,28.98
22001046,RONDELLA 6-18-1.5 INOX 032602R (דיסקה לבורג למתקן זרוע),Eur,0.13,58,₪  ,28.88
20000414,סט מפתחות אלן כדורי ארוך מילימטרי,₪  ,28.53,1,₪  ,28.53
20000019,"פצירה שטוחה ""4 שיניים בינ",₪  ,14.23,2,₪  ,28.46
25000174,מצת ES 50  150-400W,₪  ,28.38,1,₪  ,28.38
24000426,קונקטור 25 פין נקבה DS 25 SKT,₪  ,0.61,46,₪  ,28.06
25000909,מפסק תלת פאזי C10  6000K,₪  ,28.02,1,₪  ,28.02
20000476,מקדח 4.5 ממ',₪  ,3.5,8,₪  ,28
25000078,אמבטיה ל-2 (קרונה),₪  ,2.8,10,₪  ,28
24000538,קבל שוכב 2200/25V,$  ,0.38,20,₪  ,27.95
19000208,סוללה ליתיום (כפתור) CR 2025 3V,₪  ,2.79,10,₪  ,27.86
24000371,74-HCT-221,₪  ,1.2,23,₪  ,27.6
26000173,כבל VGA  מטר,₪  ,13.78,2,₪  ,27.55
24000370,74-LS-393,₪  ,1.3,21,₪  ,27.3
24000733,גביש HC-49/U  32.000 MHZ,₪  ,0.85,32,₪  ,27.2
25000058,ממסר 8 פין 24V  DC  +לד (לא פעיל),₪  ,9,3,₪  ,27
20000679,פלטת מתכת BI-36,₪  ,9,3,₪  ,26.91
30000239,דיסקית שטוחה מצופה M16,₪  ,0.17,158,₪  ,26.85
25000046,(248) תקע,₪  ,3.78,7,₪  ,26.48
26000097,קופסא חור 1 22 מ''מ,₪  ,13.22,2,₪  ,26.44
25000344,דופן 0.5-10 (KLEMSEN ) (לא פעיל),₪  ,1,26,₪  ,26
25000685,מתאם ל-2 מקום GW24262 (לא פעיל),₪  ,12.93,2,₪  ,25.86
24000182,VARISTOR V-250 1A4,$  ,0.05,140,₪  ,25.75
26000370,מגשר אופטי כפול סינגלמוד  10 מ' SC/SC,₪  ,12.8,2,₪  ,25.6
25001087,"גב מבודד עבור לוח עה""ט 18 מקומות (לא פעיל)",₪  ,25.22,1,₪  ,25.22
20000763,"לוחץ נעלי כבל 6-50 ממ""ר HX-50B",₪  ,25.18,1,₪  ,25.18
11000056,כרטיס פולסים לדימר 2-00769-1,₪  ,1,25,₪  ,25
12000119,"עדשה שחורה 8"" עם דמות אופניים",₪  ,25,1,₪  ,25
25000482,נורה מטל 400W PT,₪  ,12.5,2,₪  ,25
27000181,מספריים בנוניות,₪  ,25,1,₪  ,25
34000037,אספקת פקקים לצינורות של העמוד,₪  ,2.49,10,₪  ,24.94
24000002,0.63-A פיוז זכוכית קטן,₪  ,0.15,166,₪  ,24.9
26000288,מתאם HDMI - DVI,₪  ,24.77,1,₪  ,24.77
24000383,4046-IC,₪  ,0.99,25,₪  ,24.75
25000338,מבודד אוקולון 1/4,₪  ,4.1,6,₪  ,24.6
24000594,קבל  250V  0.068MF,₪  ,1.22,20,₪  ,24.4
25000107,"שלה הארקה ""1/2 מים (לא פעיל)",₪  ,0.98,25,₪  ,24.38
24000346,TC 4531,₪  ,1.43,17,₪  ,24.31
20000805,מתאם מברגה לבוקסות,₪  ,24.01,1,₪  ,24.01
19000610,"בורג איסכורית ראש קודח   ""14X1",₪  ,0.24,100,₪  ,24
22000816,"זרוע מיגון אלומי' GL 210 (מתכת קצרה מיועד ל-8 ק""ג) (לא פעיל)",₪  ,24,1,₪  ,24
25000026,קונקטור זכר 4 פין לפנל,₪  ,1,24,₪  ,24
30000044,דסקית שטוחה 3/16X13,₪  ,0.06,400,₪  ,24
17000197,כבל 4 סיב M.M משוריין,₪  ,4.66,5,₪  ,23.3
25000197,"ח""א  3X32A  10K",₪  ,23.08,1,₪  ,23.08
20000022,"מפתח רצ""ט 13 ממ'",₪  ,23,1,₪  ,23
24000141,4049 IC,₪  ,0.92,25,₪  ,23
25000470,"ח""א 3X25 A",₪  ,22.97,1,₪  ,22.97
30000204,בורג פיליפס M-6X6,₪  ,0.04,570,₪  ,22.8
20000966,מתאמים מביט לבוקסה 3/8 לאימפקט,₪  ,7.5,3,₪  ,22.5
20000967,מתאמים מביט לבוקסה 1/2 לאימפקט,₪  ,7.5,3,₪  ,22.5
22001215,TCP/IP 392580 מתאם תקשורת,₪  ,7.5,3,₪  ,22.5
24000256,"7442,8442 IC",₪  ,0.9,25,₪  ,22.5
27000138,כרית יפנית לכלים,₪  ,4.5,5,₪  ,22.5
23000071,זרוע למצלמה מהקיר SCX-300,₪  ,22.3,1,₪  ,22.3
24000108,7475 IC,₪  ,1.06,21,₪  ,22.26
19001096,"בנד נירוסטה ""1/2",₪  ,4.4,5,₪  ,22
26000459,כבל Display port למסך,₪  ,21.51,1,₪  ,21.51
24000369,4042 IC,₪  ,1.02,21,₪  ,21.42
24000361,556 IC,₪  ,0.97,22,₪  ,21.34
24000312,74 HC 245 IC,$  ,0.44,13,₪  ,21.04
25000036,"מופה ""1  P.V.C. לחשמל",₪  ,0.42,50,₪  ,21
25000922,"שרוול לחץ מק""ט 71KS צהוב (לא פעיל)",₪  ,0.21,100,₪  ,21
20000587,בוקסה משושה ממ'  27 D1/2,₪  ,20.99,1,₪  ,20.99
24000281,2.N 3019 T.R,₪  ,1.1,19,₪  ,20.9
24000118,74126 IC,₪  ,2.29,9,₪  ,20.61
19000002,"סרט דביק שקוף 25 מ""מ",₪  ,6.84,3,₪  ,20.52
24000202,183 BC TR,₪  ,0.34,60,₪  ,20.4
24000227,16V 4700 MF קבל,₪  ,2.25,9,₪  ,20.25
24000242,7401 IC,₪  ,0.69,29,₪  ,20.01
19000979,דיבל דפיקה 40*6,₪  ,0.2,100,₪  ,20
24000012,1/2W 180K נגד,₪  ,0.04,500,₪  ,20
24000447,שקע נקבה למ.מ. 15 פין,₪  ,1,20,₪  ,20
24000471,מעגל ספק יח' תיאום,₪  ,1,20,₪  ,20
30000161,דיסקית מגולבן 1*21*1/4,₪  ,0.04,500,₪  ,20
33000015,לחצן הולך רגל לרמזור עם (ארקו),₪  ,20,1,₪  ,20
24000240,4931 IC,₪  ,0.9,22,₪  ,19.8
24000314,74 LS 390 IC,₪  ,2.2,9,₪  ,19.8
24000250,7410 IC,₪  ,0.79,25,₪  ,19.75
24000110,7486 IC,₪  ,0.7,28,₪  ,19.6
20000202,בוכ מדידה 1 ליטר,₪  ,19.5,1,₪  ,19.5
20000965,מתאמים מביט לבוקסה 1/4 לאימפקט,₪  ,6.5,3,₪  ,19.5
24000374,7427 IC,₪  ,1.02,19,₪  ,19.38
22001045,DADO ABL M6 INOX BASSO 032506R (אום לבורג למתקן זרוע),Eur,0.18,28,₪  ,19.31
24000499,קבל עומד 50V/2.2M,₪  ,0.11,175,₪  ,19.25
24000510,פיוז  SB  1A  32X6 (לא פעיל),₪  ,0.06,320,₪  ,19.2
30000264,דיסקה M12X24 P-12X24-ST-B,Eur,0.01,500,₪  ,19.15
11000048,כרטיס לשלט מתחלף 2-00733-2,₪  ,1,19,₪  ,19
24000234,4001 IC,₪  ,0.82,23,₪  ,18.86
25001037,סופית חוט נלחצת שחורה+בידוד 1.5-8 E (שקית 100 יח'),₪  ,4.67,4,₪  ,18.68
24000243,7402 IC,₪  ,0.83,22,₪  ,18.26
30000124,בורג סיבית 4.5-60 (100 יח'),₪  ,6.06,3,₪  ,18.18
20000560,מטר 7.5 +גומי,₪  ,18,1,₪  ,18
16000199,סט 4 אוזניות ממתכת ללוחות WC-010 (לא פעיל),₪  ,17.99,1,₪  ,17.99
24000248,7408 IC,$  ,0.15,32,₪  ,17.66
20000989,"בוקסה 21 מ""מ ארוכה",₪  ,17.5,1,₪  ,17.5
20000990,"בוקסה 22 מ""מ ארוכה",₪  ,17.5,1,₪  ,17.5
30000054,דיבל כימי 16ממ'+בורג190ממ,₪  ,8.7,2,₪  ,17.41
25000962,מיקרוסוויץ VS153,₪  ,8.67,2,₪  ,17.34
34000116,שק סומסומיא,₪  ,3.47,5,₪  ,17.34
31000130,מסמר 6,₪  ,8.66,2,₪  ,17.32
24000164,4028 I.C,₪  ,1.07,16,₪  ,17.12
24000253,7420 IC,₪  ,1.14,15,₪  ,17.1
20000536,מברג שטוח 150X6,₪  ,17,1,₪  ,17
24000423,*מחבר BNC נקבה RG-174,₪  ,17,1,₪  ,17
27000092,שקיות אשפה 90X70,₪  ,8.5,2,₪  ,16.99
27000005,שקיות גופיה,₪  ,8.46,2,₪  ,16.92
30000100,בורג לכימי M16X190,₪  ,0.98,17,₪  ,16.74
24000152,4538 IC,₪  ,1.19,14,₪  ,16.66
24000693,74HC393  I.C,$  ,0.18,25,₪  ,16.55
24000107,74HC74 IC,₪  ,0.18,89,₪  ,16.02
25000324,שנאי 220V-9V-19V   KIR-194,₪  ,1,16,₪  ,16
25001073,"שרוול לחץ נחושת 95 מ""מ",₪  ,8,2,₪  ,16
24000178,"לד ירוק 5 מ""מ (VC513-DBGC-T10)",₪  ,0.41,39,₪  ,15.99
25000087,מהדק ל-0 ZB  16/6 (לא פעיל),₪  ,1.45,11,₪  ,15.95
24000196,2905A 2N TR,₪  ,1.3,12,₪  ,15.6
24000360,3081 IC,₪  ,1.3,12,₪  ,15.6
24000224,50V 22MF קבל,₪  ,0.25,62,₪  ,15.5
13000218,010300603364 5*7 dot matrix for indoor,$  ,4.2,1,₪  ,15.44
24000313,74 HC 573 IC,$  ,0.23,18,₪  ,15.23
11000057,כרטיס תצוגה דמבך 2-00413A,₪  ,1,15,₪  ,15
17000037,חוט כחול 0.75 קשיח,₪  ,0.15,100,₪  ,15
19000212,חבק הדוק לבן 2.5X200 ( לא פעיל),₪  ,3,5,₪  ,15
24000299,P B L 3770 A N IC,₪  ,1.5,10,₪  ,15
24000411,2200 M F 25 V קבל,₪  ,1,15,₪  ,15
25001245,ראש בורר 1-0-2 + בסיס ZB5-AD3,₪  ,15,1,₪  ,15
32000003,24V  MXE 224Rגלאי (2 ערו'  מיקרוסנס),₪  ,5,3,₪  ,15
25000125,נעל כבל  16 ממ' חור 8 ממ',₪  ,0.88,17,₪  ,14.95
24000567,"בית לד 3 מ""מ H302",$  ,0.04,100,₪  ,14.71
24000682,74HC32,$  ,0.16,25,₪  ,14.71
11000016,מסילות פלסטיק לדמבך,₪  ,0.1,147,₪  ,14.7
24000297,74241 IC,₪  ,1.13,13,₪  ,14.69
20000655,"בוקסה 17 מ""מ",₪  ,14.5,1,₪  ,14.5
20000988,"בוקסה 19 מ""מ ארוכה",₪  ,14.5,1,₪  ,14.5
24000245,7404 IC,₪  ,0.55,26,₪  ,14.3
24000263,XTL 12.000 גביש,₪  ,0.95,15,₪  ,14.25
30000123,בורג סיבית 4.5-45 (100 יח'),₪  ,0.07,200,₪  ,14.01
19000295,תעלה לבנה עם מכסה 17X17,₪  ,2,7,₪  ,14
20000179,2 מברג פיליפס,₪  ,14,1,₪  ,14
20000219,משקפי מגן להשחזה HN-206,₪  ,14,1,₪  ,14
25000252,מפסק טוגל מבודד 6-10A,₪  ,3.5,4,₪  ,14
11000102,CRIM CONTACT 0.2/0.5 MM2 3522 759 61480 (לא פעיל),₪  ,2.79,5,₪  ,13.95
24000376,4066 IC,₪  ,0.84,16,₪  ,13.44
24000127,74191 IC,₪  ,1.2,11,₪  ,13.2
24000143,74195  9300 IC,₪  ,1.2,11,₪  ,13.2
20000067,HSS 'מקדח 2.5 ממ,₪  ,2.18,6,₪  ,13.08
23000042,פלט כבל 37 פין 70 סמ',₪  ,1,13,₪  ,13
24000296,M M 58174 A N IC,₪  ,1.3,10,₪  ,13
24000415,"M222-R 24 DC מ.לד 12 מ""מ",₪  ,1,13,₪  ,13
25000068,12 V נורית סימון עגולה,₪  ,1,13,₪  ,13
22001042,RONDELLA M12 ZB 032628R (דיסקה לבורג לקפיץ),Eur,0.13,26,₪  ,12.95
19000318,משאבההידראולית,₪  ,12.93,1,₪  ,12.93
19000383,מופה לצינור מרירון 3/4,₪  ,0.86,15,₪  ,12.9
20000442,מברג פיליפס 2X150 מבודד,₪  ,12.9,1,₪  ,12.9
24000206,50-100V     10NF      קבל,$  ,0.05,70,₪  ,12.87
25000042,שקע משוריין,₪  ,4.27,3,₪  ,12.81
24000104,74 LS 06 IC,₪  ,0.84,15,₪  ,12.6
24000241,7400 MIL 5400 IC,₪  ,0.57,22,₪  ,12.54
20000145,110 מ x 8  SDS מקדח וידיה לפטישון,₪  ,12.35,1,₪  ,12.36
24000304,4584 IC,₪  ,0.81,15,₪  ,12.15
20000758,סרט מדידה 7.5 מטר,₪  ,12,1,₪  ,12
20000811,מקדח וידיה 7X160 SDS,₪  ,12,1,₪  ,12
20000858,מטר 10 מ' אורך,₪  ,12,1,₪  ,12
24000088,1/4W 100K נגד,₪  ,0.02,600,₪  ,12
25000421,"נל""ג אוטוריגולטור  E40 250W",₪  ,1,12,₪  ,12
24000422,בית נתיך שחור גדול,₪  ,1.48,8,₪  ,11.84
24000244,"7403,5403 IC",₪  ,0.9,13,₪  ,11.7
19000114,"מופה 2"" מרירון",₪  ,0.52,22,₪  ,11.44
24000372,4073 IC,₪  ,0.54,21,₪  ,11.34
24000373,4069 IC,₪  ,0.54,21,₪  ,11.34
24000555,נגד 510 אוהם  R52/510R 1/2W,$  ,0.01,300,₪  ,11.03
24000117,74121 IC,₪  ,1.1,10,₪  ,11
24000183,Q 4025 P טריאק,₪  ,1,11,₪  ,11
24000126,74190 IC,₪  ,1.2,9,₪  ,10.8
24000169,74 LS 164 IC,₪  ,0.9,12,₪  ,10.8
24000336,74LS21 IC,₪  ,0.83,13,₪  ,10.79
24000129,74193 IC,₪  ,1.06,10,₪  ,10.6
24000359,4585  IC,₪  ,1.15,9,₪  ,10.35
30000203,"בורג M-10 אורך 40 מ""מ",₪  ,0.51,20,₪  ,10.21
24000147,74 LS 367 IC,₪  ,1.13,9,₪  ,10.17
24000153,4071 IC,₪  ,0.78,13,₪  ,10.14
25000932,בורר גנרטור 3 מצבים 40A (לא פעיל),₪  ,10.05,1,₪  ,10.05
16000019,קופ' אטומה D-8 80X80X50,₪  ,5,2,₪  ,10
20000809,מקדח 160X6SDS,₪  ,10,1,₪  ,10
25000347,נעל כבל 1.5 אדום מזלג 3.7,₪  ,0.2,50,₪  ,10
30000249,בורג 3/8X15 הברגה מלאה,₪  ,0.1,100,₪  ,10
20000660,ביט פליפס  PH2 אפור ( לא פעיל),₪  ,9.67,1,₪  ,9.67
24000191,SCB BRX 49,₪  ,0.3,32,₪  ,9.6
30000194,אום M-3,₪  ,0.1,95,₪  ,9.53
24000230,74 L S 151 I C,₪  ,0.94,10,₪  ,9.4
25000541,נורה הלוגן קורץ 500W,₪  ,9.32,1,₪  ,9.32
24000556,נגד 330 אוהם R52/330R  1/2W,₪  ,0.03,310,₪  ,9.3
11000036,כרטיס ספק יח' תאום,₪  ,0.42,22,₪  ,9.24
24000508,בית פיוז שוכב למ.מ. 20 ממ',₪  ,0.71,13,₪  ,9.23
25000132,סופית מצופה כסף לחוט 4 ממ (1000 יח),₪  ,4.57,2,₪  ,9.14
20000860,מפתח אלן 5 מ''מ,₪  ,9.01,1,₪  ,9.01
24000106,7445 IC,₪  ,0.9,10,₪  ,9
24000264,2N 5322 TR,₪  ,1,9,₪  ,9
25000067,6 V נורית סימון עגולה,₪  ,1,9,₪  ,9
24000003,1/2W נגד 2.2 אוהם,₪  ,0.69,13,₪  ,8.97
20000045,"מפתח פתוח - רינג 11 מ""מ",₪  ,8.86,1,₪  ,8.86
20000208,טסטר,₪  ,2.9,3,₪  ,8.7
30000125,בורג פח מצופה קודח 4.2-25 (100 יח),₪  ,8.63,1,₪  ,8.63
20000167,T118 B משורית ג'קסון ברזל,₪  ,8.55,1,₪  ,8.55
24000249,7409 IC,₪  ,0.95,9,₪  ,8.55
22000783,בקר WEIGAND RS232,₪  ,1,8,₪  ,8
24000009,נגד 200 אום  15 W,₪  ,0.04,200,₪  ,8
24000062,1/4W נגד 270 אוהם,₪  ,0.02,400,₪  ,8
24000201,213 BC TR,₪  ,1,8,₪  ,8
24000413,6 A 400 V גשר,₪  ,1,8,₪  ,8
30000000,דיבל פלסטי אורך 30 קוטר 6 ממ'(100 יח'),₪  ,0.08,100,₪  ,8
20000032,"מפתח פתוח - רינג 8 מ""מ",₪  ,7.8,1,₪  ,7.8
24000358,4514 IC,₪  ,0.95,8,₪  ,7.6
24000203,NPSA 14 TR,₪  ,0.22,34,₪  ,7.48
25001193,"מהדק הארקה 16 ממ""ר - SL 16/35 - 1197.2",₪  ,3.65,2,₪  ,7.3
19000622,גליל נייר טרמי 80*80 קור 1/2 7 שנים למדפסת EPSILON (לא פעיל),₪  ,7.01,1,₪  ,7.01
10000000,CP-505  CPU - כרטיס בקרה,₪  ,1,7,₪  ,7
23000041,פלט כבל 37 פין 1מ',₪  ,1,7,₪  ,7
24000407,KBP 206 גשר דיודות,₪  ,0.24,29,₪  ,6.96
20000079,שפכטל לגירוד,₪  ,6.93,1,₪  ,6.93
13000291,ארון אסימטרי OR-7382 1100X1115X380 מ''מ,₪  ,6.9,1,₪  ,6.9
24000362,4N 46 IC,₪  ,0.13,50,₪  ,6.5
24000356,2081  IC,₪  ,0.9,7,₪  ,6.3
24000598,קבל 1.5MF 25V T,₪  ,0.1,61,₪  ,6.1
24000081,1/4W 15K נגד,₪  ,0.01,608,₪  ,6.08
11000098,כרטיס ממסרים דמבך(י-ם),₪  ,1,6,₪  ,6
24000061,1/4W נגד 220 אוהם,₪  ,0.02,300,₪  ,6
24000204,4852 2N TR,₪  ,2,3,₪  ,6
25000079,LSA מהדק מתנתק (לא פעיל),₪  ,1,6,₪  ,6
25000159,OSRAM NAV E-70 W/I,₪  ,1,6,₪  ,6
24000427,קונקטור 25 פין זכר DS 25 PKT,$  ,0.12,13,₪  ,5.79
30000088,בורג אלן M-6X30,₪  ,0.22,26,₪  ,5.72
24000200,2121 BC TR,₪  ,0.3,19,₪  ,5.7
11000021,"מעגל ממסרים  לבקר 35  (ת""א)",₪  ,0.28,18,₪  ,5.04
24000094,1/4W 470K נגד,₪  ,0.02,250,₪  ,5
31000120,אוניקריל אנטיגרפיטי  RAL7035,₪  ,1,5,₪  ,5
20000857,סכין חיתוך טרפזי,₪  ,4.51,1,₪  ,4.51
19000209,סוללה ליתיום(כפתור) CR 2430  3V,₪  ,4.5,1,₪  ,4.5
24000042,100MF 25V קבל עומד,₪  ,0.12,37,₪  ,4.44
22000047,מודם לחניון ( לא פעיל),₪  ,0.11,40,₪  ,4.4
24000016,1/2W 510K נגד,₪  ,0.04,110,₪  ,4.4
24000193,KAZ            1000 קוורץ,₪  ,2.2,2,₪  ,4.4
19000924,לפלף KS 24,₪  ,4.3,1,₪  ,4.3
24000114,8472 IC,₪  ,0.7,6,₪  ,4.2
19000059,פנוי ( לא פעיל),₪  ,0.09,46,₪  ,4.14
22000912,"בקר זאב נמל ת""א אחוזת החוף",₪  ,1,4,₪  ,4
24000067,1/4W נגד 620 אוהם,₪  ,0.02,200,₪  ,4
24000270,74.H.C.138  IC,₪  ,2,2,₪  ,4
25000069,24 V נורית סימון עגולה,₪  ,1,4,₪  ,4
11000017,מסילות פלסטיק לסל גלאים,₪  ,0.08,49,₪  ,3.92
24000252,8416 IC,₪  ,1.25,3,₪  ,3.75
19000157,אבזם אל-חלד 3/4 ( לא פעיל),₪  ,0.18,20,₪  ,3.6
24000079,1/4W 9.1K נגד,₪  ,0.02,180,₪  ,3.6
24000262,05 P 1100 10 קבל,₪  ,0.39,9,₪  ,3.51
11000022,מעגל כרטיס קולורגרפי,₪  ,0.05,69,₪  ,3.45
24000261,05 E 33 6.3 A 'קבל אלק,₪  ,0.43,8,₪  ,3.44
24000083,1/4W 22K נגד,₪  ,0.02,170,₪  ,3.4
24000073,1/4W 3.9K נגד,₪  ,0.02,162,₪  ,3.24
24000092,1/4W 270K נגד,₪  ,0.02,162,₪  ,3.24
24000021,1/2W 2.2M נגד,₪  ,0.04,80,₪  ,3.2
24000018,1/2W 750K נגד,₪  ,0.04,78,₪  ,3.12
11000037,כרטיס קולורגרפי,₪  ,0.6,5,₪  ,3
19001127,נייר זכוכית,₪  ,3,1,₪  ,3
23000084,צמה מסיימת מ-428 ל-1X424,₪  ,1,3,₪  ,3
24000060,1/4W נגד 160 אוהם,₪  ,0.02,150,₪  ,3
24000199,178 BC TR,₪  ,0.3,10,₪  ,3
24000223,25V 22 FM קבל,₪  ,0.5,6,₪  ,3
24000319,L 7824 מייצב,₪  ,1.5,2,₪  ,3
24000331,15 גדול A נתיך,₪  ,0.25,12,₪  ,3
28000006,"סט מגבים ""17",₪  ,1,3,₪  ,3
30000258,דיסקית קפיץ M4,₪  ,0.01,300,₪  ,3
24000091,1/4W 180K נגד,₪  ,0.02,148,₪  ,2.96
20000413,טסטר צמפיון אורגינל,₪  ,2.9,1,₪  ,2.9
24000017,1/2W 560K נגד,₪  ,0.04,72,₪  ,2.88
24000089,1/4W 120K נגד,$  ,0.01,74,₪  ,2.72
24000075,1/4W 5.1K נגד,₪  ,0.02,135,₪  ,2.7
24000599,קבל קרמי 400V,₪  ,0.1,27,₪  ,2.7
22001041,DADO ABL M12 6S ZB BASSO 032540R (אום לבורג לקפיץ),₪  ,0.43,6,₪  ,2.58
25000328,קופס' CI4 גובה 13 סמ' 36X25X13,₪  ,2.52,1,₪  ,2.52
19001117,תרסיס ספריי אדום (RAL 3002) (לא פעיל),₪  ,0.3,8,₪  ,2.4
24000128,74192 IC,₪  ,1.2,2,₪  ,2.4
24000251,74LS23 IC,₪  ,0.74,3,₪  ,2.22
24000015,1/2W 330K נגד,₪  ,0.04,55,₪  ,2.2
24000082,1/4W 20K נגד,₪  ,0.02,109,₪  ,2.18
24000076,1/4W 5.6K נגד,₪  ,0.02,105,₪  ,2.1
27000139,מטליות אבק שלישיה,₪  ,0.68,3,₪  ,2.04
10300005,ATC 952 MB,₪  ,1,2,₪  ,2
23000083,צמה מסיימת מ-428 ל-2X424,₪  ,1,2,₪  ,2
24000011,1/2W 68K נגד,₪  ,0.04,50,₪  ,2
27000052,טוש אדום עבה,₪  ,2,1,₪  ,2
24000063,1/4W נגד 330 אוהם,₪  ,0.02,98,₪  ,1.96
24000005,1/2W נגד 270 אוהם,₪  ,0.04,44,₪  ,1.76
24000093,1/4W 330K נגד,₪  ,0.02,88,₪  ,1.76
24000054,1/4W נגד 68 אוהם,₪  ,0.02,87,₪  ,1.74
24000019,1/2W 810K נגד,₪  ,0.04,42,₪  ,1.68
24000205,4871 2N TR,₪  ,0.21,8,₪  ,1.68
24000020,1/2W 910K נגד,₪  ,0.04,40,₪  ,1.6
24000220,100 0.68 קבל,₪  ,0.8,2,₪  ,1.6
24000286,4.7.P.F קבל דיסק,₪  ,0.1,16,₪  ,1.6
24000179,"לד צהוב 5 מ""מ",₪  ,0.01,157,₪  ,1.57
24000271,74.H.C.373  IC,$  ,0.2,2,₪  ,1.51
24000135,4081 IC,₪  ,0.75,2,₪  ,1.5
24000208,5551 2N TR,₪  ,0.3,5,₪  ,1.5
24000391,4503  IC,₪  ,0.5,3,₪  ,1.5
30000198,דיסקית שטוחה M-20,₪  ,0.25,6,₪  ,1.49
29000013,טבעת ומצחיה (משטרה),₪  ,0.01,141,₪  ,1.41
24000014,1/2W 240K נגד,₪  ,0.04,34,₪  ,1.36
24000084,1/4W 33K נגד,₪  ,0.02,57,₪  ,1.14
10200002,LD     כרטיס הפעלת נורות,₪  ,0.01,107,₪  ,1.07
20000030,"1/2"" מפתח פתוח - רינג",₪  ,1,1,₪  ,1
24000066,1/4W נגד 560 אוהם,₪  ,0.02,50,₪  ,1
24000077,1/4W 6.8K נגד,₪  ,0.01,100,₪  ,1
24000181,תושבת ל-OC1- LED,₪  ,1,1,₪  ,1
25000025,קונקטור נקבה 4 פין לפנל,₪  ,1,1,₪  ,1
25000146,ממסר אומרון DC 24V,₪  ,1,1,₪  ,1
25001033,"ח""א 4A 6K(לא פעיל)",₪  ,1,1,₪  ,1
26000001,Windows XP Pro Hebrew UPG OLP NL (לא פעיל),₪  ,1,1,₪  ,1
24000095,1/4W 510K נגד,₪  ,0.02,45,₪  ,0.9
24000007,1/2W 2.7K נגד,₪  ,0.04,20,₪  ,0.8
24000052,1/4W נגד 47 אוהם,₪  ,0.02,40,₪  ,0.8
24000006,1/2W 1.8K נגד,₪  ,0.24,3,₪  ,0.72
24000090,1/4W 150K נגד,₪  ,0.02,36,₪  ,0.72
24000074,1/4W 4.7K נגד,₪  ,0.02,34,₪  ,0.68
24000010,1/2W 47K נגד,₪  ,0.04,16,₪  ,0.64
24000514,לד  5MM אדום סופר 10 10000MCO,₪  ,0.62,1,₪  ,0.62
11000069,כרטיס פזה קסטור -מוצא,₪  ,0.01,61,₪  ,0.61
24000055,1/4W נגד 82 אוהם,₪  ,0.02,30,₪  ,0.6
24000209,100V 0.01 MP          קבל,₪  ,0.12,5,₪  ,0.6
24000038,47K 9P רשת נגדים,₪  ,0.02,29,₪  ,0.58
24000097,1/4W 620K נגד,₪  ,0.14,4,₪  ,0.56
24000100,1/4W 1M נגד,₪  ,0.02,24,₪  ,0.48
24000049,1/4W נגד 22 אוהם,₪  ,0.02,23,₪  ,0.46
24000050,1/4W נגד 27 אוהם,₪  ,0.01,46,₪  ,0.46
24000058,1/4W נגד 120 אוהם,₪  ,0.02,22,₪  ,0.44
24000053,1/4W נגד 62 אוהם,₪  ,0.01,40,₪  ,0.4
24000398,74 LS 245 IC,₪  ,0.02,19,₪  ,0.38
24000040,22MF 63V קבל שוכב,₪  ,0.02,18,₪  ,0.36
24000044,2N-2221 TR,₪  ,0.01,33,₪  ,0.33
30000164,"בורג ר""ע פליפס מגולבן 9*5/32",₪  ,0.04,8,₪  ,0.32
12000069,מעגל לדים ירוק לרמזור (SP02014),Eur,0.01,8,₪  ,0.31
24000087,1/4W 68K נגד,₪  ,0.02,14,₪  ,0.28
10300003,ATC 952 LD,₪  ,0.01,25,₪  ,0.25
24000039,47K 10P רשת נגדים,₪  ,0.02,11,₪  ,0.22
10200009,RIOA      כולל I/O כרטיס,₪  ,0.01,17,₪  ,0.17
10300002,ATC 952 RIO,₪  ,0.01,17,₪  ,0.17
24000260,05 D 330 P קבל,₪  ,0.07,2,₪  ,0.14
