תאריך,סוג תנועת מלאי,מס. תעודה/חשבונית,"מק""ט",תאור מוצר,כמות (קניה/מכירה),"עלות ש""ח ליח' ק/מ","עלות ש""ח",מקור עלות,מס' לקוח,שם לקוח,מס' ספק,שם ספק,מחסן,איתור,"פק""ע/מנה",מהדורת מוצר,מהדורת עץ מוצר,יח' קניה/מכירה,כמות מפעל,יח' מפעל,עלות USD ליח' ק/מ,עלות USD,מטבע תנועה,למחסן,לאיתור,"למק""ט",תאור מוצר,"לפק""ע/מנה",מהדורת עץ מוצר,מסטטוס,לסטטוס,מפעולה/משטח,לפעולה/משטח,"עבור פק""ע","עבור מק""ט",תאור מוצר,עבור פעולה/משטח,מס. אריזות,קוד סוג אריזה,תאור סוג אריזה,חתימה,ת. חתימה
4/1/2025,העברה בין מחסנים,WR25000633,25001335,דופן למהדק D-TB4/10 3059809,20,0.23,4.60,תנועה,,,,,Main,0,0,,,יח',20,יח',0.06,1.24,"ש""ח",P023,0,25001335,דופן למהדק D-TB4/10 3059809,0,,Goods,Goods,,,,,,,0,,,alexg,4/1/25 8:30
4/1/2025,העברה בין מחסנים,WR25000634,11000131,מסך TFT 7'' MMI 4000 110 00110,1,838.19,838.19,תנועה,,,,,Main,0,0,,,יח',1,יח',225.44,225.44,"ש""ח",P026,0,11000131,מסך TFT 7'' MMI 4000 110 00110,0,,Goods,Goods,,,,,,,0,,,alexg,4/1/25 8:37
4/1/2025,העברה בין מחסנים,WR25000635,17000293,כבל קואקס RG-59 + DC (טלדור),100,1.40,140.00,"ממ""ן",,,,,Main,0,0,,,יח',100,יח',0.39,39.00,"ש""ח",P100,0,17000293,כבל קואקס RG-59 + DC (טלדור),0,,Goods,Goods,,,,,,,0,,,alexg,4/1/25 9:26
4/1/2025,העברה בין מחסנים,WR25000636,20000155,מקלף צד ג'וגר,1,22.50,22.50,תנועה,,,,,Main,0,0,,,יח',1,יח',6.05,6.05,"ש""ח",P023,0,20000155,מקלף צד ג'וגר,0,,Goods,Goods,,,,,,,0,,,alexg,4/1/25 9:26
4/1/2025,קבלות סחורה מספק,GR25000522,25001334,מהדק TB10-I 3246340,5000,1.35,6755.94,חשבונית,,,2030267,"פניקס קונטקס ( ישראל) בע""מ",,,0,,,יח',5000,יח',0.36,1817.09,"ש""ח",Main,0,25001334,מהדק TB10-I 3246340,0,,Goods,Goods,,,,,,,0,,,pazita,4/2/25 16:22
4/1/2025,קבלות סחורה מספק,GR25000523,11000136,ASSY PD5-L 35220 704 73940,10,616.32,6163.21,קבלה למלאי,,,2030308,Peek Traffic B.V,,,0,,,יח',10,יח',166.35,1663.49,EUR,Main,0,11000136,ASSY PD5-L 35220 704 73940,0,,Goods,Goods,,,,,,,0,,,alexg,4/1/25 9:32
4/1/2025,קבלות סחורה מספק,GR25000524,1900247,צינור PG-50 שחור,60,7.55,453.00,קבלה למלאי,,,2030071,"ארכה בע""מ",,,0,,,יח',60,יח',2.04,122.27,"ש""ח",Main,0,1900247,צינור PG-50 שחור,0,,Goods,Goods,,,,,,,0,,,davids,4/1/25 10:04
4/1/2025,קבלות סחורה מספק,GR25000525,60000035,"הוצאות נקיון גבעת ברנר לפי 67 ש""ח לשעה 9 שעות חודשיות",1,670.00,670.00,חשבונית,,,2030172,קיבוץ גבעת ברנר,,,0,,,יח',1,יח',180.20,180.20,"ש""ח",Main,0,60000035,הוצאות נקיון,0,,Goods,Goods,,,,,,,0,,,pazita,4/1/25 11:52
4/1/2025,קבלות סחורה מספק,GR25000526,33000040,"תקתקן אקוסטי 220V דגם ""מנורה""",100,1567.50,156750.00,חשבונית,,,2030226,"שיכון ובינוי סולל בונה-מנורה מערכות בע""מ",,,0,,,יח',100,יח',416.22,41622.41,"ש""ח",Main,0,33000040,"תקתקן אקוסטי 220V דגם ""מנורה""",0,,Goods,Goods,,,,,,,0,,,pazita,4/17/25 16:48
4/1/2025,קבלות סחורה מספק,GR25000527,25000310,מיקרו סוויץ 1307,30,14.01,420.34,חשבונית,,,2030526,חגי ירון,,,0,,,יח',30,יח',3.80,114.10,"ש""ח",Main,0,25000310,מיקרו סוויץ 1307,0,,Goods,Goods,,,,,,,0,,,pazita,4/2/25 16:18
4/1/2025,קבלות סחורה מספק,GR25000528,25000310,מיקרו סוויץ 1307,100,14.00,1400.00,חשבונית,,,2030526,חגי ירון,,,0,,,יח',100,יח',3.80,380.02,"ש""ח",Main,0,25000310,מיקרו סוויץ 1307,0,,Goods,Goods,,,,,,,0,,,pazita,4/2/25 16:18
4/1/2025,קבלות סחורה מספק,GR25000529,25000310,מיקרו סוויץ 1307,20,13.98,279.66,חשבונית,,,2030526,חגי ירון,,,0,,,יח',20,יח',3.80,75.91,"ש""ח",Main,0,25000310,מיקרו סוויץ 1307,0,,Goods,Goods,,,,,,,0,,,pazita,4/2/25 16:17
4/1/2025,העברה בין מחסנים,WR25000637,12000118,מגש לדים+ספק כח 220V,15,57.00,855.00,תנועה,,,,,Main,0,0,,,יח',15,יח',15.33,229.96,"ש""ח",P020,0,12000118,מגש לדים+ספק כח 220V,0,,Goods,Goods,,,,,,,0,,,alexg,4/1/25 14:26
4/1/2025,קבלות סחורה מספק,GR25000530,25000310,מיקרו סוויץ 1307,21,14.00,294.07,חשבונית,,,2030526,חגי ירון,,,0,,,יח',21,יח',3.80,79.82,"ש""ח",Main,0,25000310,מיקרו סוויץ 1307,0,,Goods,Goods,,,,,,,0,,,pazita,4/2/25 16:17
4/1/2025,קבלות סחורה מספק,GR25000531,25000310,מיקרו סוויץ 1307,20,13.98,279.66,חשבונית,,,2030526,חגי ירון,,,0,,,יח',20,יח',3.80,75.91,"ש""ח",Main,0,25000310,מיקרו סוויץ 1307,0,,Goods,Goods,,,,,,,0,,,pazita,4/2/25 16:19
4/1/2025,קבלות סחורה מספק,GR25000532,25000310,מיקרו סוויץ 1307,21,14.00,294.07,חשבונית,,,2030526,חגי ירון,,,0,,,יח',21,יח',3.80,79.82,"ש""ח",Main,0,25000310,מיקרו סוויץ 1307,0,,Goods,Goods,,,,,,,0,,,pazita,4/2/25 16:19
